AJ516_race4_FUN_000013	AJ516_race4_FUN_000013
AJ592_race4_FUN_000025	AJ592_race4_FUN_000025
AJ705_race4_FUN_000001	AJ705_race4_FUN_000001
AJ718_race1_FUN_000094	AJ718_race1_FUN_000094
AJ865_race1_FUN_000014	AJ865_race1_FUN_000014
AJ865_race1_FUN_000014	AJ520_race1_FUN_000015
AJ865_race1_FUN_000014	GCA_048164945_FUN_000019
AJ865_race1_FUN_000014	GCA_018894095_FUN_000071
AJ865_race1_FUN_000014	GCA_038050555_FUN_000006
Fola1ENZA_FUN_000004	Fola1ENZA_FUN_000004
Fola1ENZA_FUN_000004	Fola4ENZA_FUN_000003
Fola1ENZA_FUN_000004	GCA_000260495_FUN_000001
Fola1ENZA_FUN_000004	GCA_001702695_FUN_000003
Fola1ENZA_FUN_000004	GCA_014843455_FUN_000002
Fola2ENZA_FUN_000005	Fola2ENZA_FUN_000005
Fola3ENZA_FUN_000003	Fola3ENZA_FUN_000003
Fola3ENZA_FUN_000003	Fusarium_cugenangense_ex_type-barcode01_FUN_000018
Fola3ENZA_FUN_000003	GCA_013347535_FUN_000020
Fola3ENZA_FUN_000003	GCA_014843415_FUN_000015
Fola3ENZA_FUN_000003	GCA_014843445_FUN_000018
Fola3ENZA_FUN_000003	GCA_014843555_FUN_000004
Fusarium_duoseptatum_ex_type-barcode03_FUN_000086	Fusarium_duoseptatum_ex_type-barcode03_FUN_000086
Fusarium_elaeidis_ex_type_FUN_000039	Fusarium_elaeidis_ex_type_FUN_000039
Fusarium_fabacearum_ex_type_FUN_000005	Fusarium_fabacearum_ex_type_FUN_000005
Fusarium_glycines_ex_type_FUN_000010	Fusarium_glycines_ex_type_FUN_000010
Fusarium_gossypinum_ex_type_FUN_000050	Fusarium_gossypinum_ex_type_FUN_000050
Fusarium_kalimantanense_ex_type-barcode07_FUN_000003	Fusarium_kalimantanense_ex_type-barcode07_FUN_000003
Fusarium_phialophorum-barcode15_FUN_000013	Fusarium_phialophorum-barcode15_FUN_000013
Fusarium_sp_128_FUN_000001	Fusarium_sp_128_FUN_000001
GCA_000259975_FUN_000002	GCA_000259975_FUN_000002
GCA_001702845_FUN_000032	GCA_001702845_FUN_000032
GCA_001703205_FUN_000018	GCA_001703205_FUN_000018
GCA_001703455_FUN_000133	GCA_001703455_FUN_000133
GCA_002233855_FUN_000172	GCA_002233855_FUN_000172
GCA_002234015_FUN_000043	GCA_002234015_FUN_000043
GCA_002234015_FUN_000043	GCA_001702495_FUN_000036
GCA_003315725_FUN_000001	GCA_003315725_FUN_000001
GCA_003315725_FUN_000001	GCA_021018635_FUN_000006
GCA_003315725_FUN_000001	GCA_032206225_FUN_000002
GCA_009755825_FUN_000023	GCA_009755825_FUN_000023
GCA_013423235_FUN_000001	GCA_013423235_FUN_000001
GCA_014839635_FUN_000046	GCA_014839635_FUN_000046
GCA_015227905_FUN_000046	GCA_015227905_FUN_000046
GCA_016166325_FUN_000002	GCA_016166325_FUN_000002
GCA_016170085_FUN_000003	GCA_016170085_FUN_000003
GCA_019593505_FUN_000075	GCA_019593505_FUN_000075
GCA_019671045_FUN_000019	GCA_019671045_FUN_000019
GCA_019671045_FUN_000019	GCA_019670925_FUN_000002
GCA_020796175_FUN_000007	GCA_020796175_FUN_000007
GCA_023509805_FUN_000017	GCA_023509805_FUN_000017
GCA_025203105_FUN_000003	GCA_025203105_FUN_000003
GCA_025203755_FUN_000017	GCA_025203755_FUN_000017
GCA_025203755_FUN_000017	GCA_002234105_FUN_000094
GCA_025216365_FUN_000025	GCA_025216365_FUN_000025
GCA_025217005_FUN_000004	GCA_025217005_FUN_000004
GCA_025217005_FUN_000004	GCA_002234045_FUN_000125
GCA_025267645_FUN_000197	GCA_025267645_FUN_000197
GCA_049306905_FUN_000006	GCA_049306905_FUN_000006
GCA_049307005_FUN_000001	GCA_049307005_FUN_000001
GCA_050947235_FUN_000004	GCA_050947235_FUN_000004
GCA_050947235_FUN_000004	GCA_050947165_FUN_000004
